"","Coyote","Age","Farm","Educ","Land","Parent","Sibling","Prevalence","Child_con","First","Exper","Appreh","Prior","Pre_Coy","Linewatch","RIO_GRANDE","BIG_BEND","DEL_RIO","Arizona","California","Texas","Cross_Year","Survey_Year","MMP_id","Community","Weight","communityType","era","propertyOwn","rural","CoyNo","Last_Coy","San_Deigo","Tucson","Safeguard","Gatekeeper","Hold_The_Line","Operation_RG","PTD","noncoyoteMHC","coyoteMHC"
"2",1,31,0,6,0,0,1,0.294560669456068,0,0,0.07,1,2,1,3.073758,1,0,0,0,0,1,1994,1994,10038,38,3.6,"2",2,1,1,2,1,0,0,0,0,0,0,1,0,2
"3",1,47,0,1,0,0,0,0.284212912399283,1,0,0.24,0,1,1,3.397049,1,0,0,0,0,1,1995,2001,10089,89,8.8,"2",2,1,1,1,1,0,0,0,0,0,0,1,0,1
"5",1,27,0,6,0,0,0,0.519848322307953,1,0,0.1,0.5,2,1,5.789396,0,0,0,1,0,0,2002,2007,10120,120,3.9299,"0",2,0,0,2,1,0,1,1,0,0,0,1,0,2
"6",1,44,1,12,0,0,0,0.408077259402219,1,0,0.12,0,1,1,4.914131,0,1,0,0,0,1,1999,1999,20074,74,8.06,"1",2,1,1,1,1,0,0,0,0,1,0,1,0,1
"10",1,36,1,6,0,0,0,0.111111111111111,0,0,0.27,0,4,1,6.46884,0,0,0,1,0,0,2005,2006,20114,114,1.6443,"0",2,1,0,4,1,0,1,1,0,0,0,1,0,4
"11",1,30,0,3,0,0,2,0.179491362204266,0,0,0.36,1.5,2,1,6.254962,0,0,0,0,0,0,2004,2009,20126,126,13.2265,"2",2,1,1,2,1,0,0,0,0,0,0,1,0,2
"13",1,24,0,9,0,0,1,0.0958466453674122,0,0,0.24,0,2,1,11.802817,0,0,1,0,0,1,2010,2012,20139,139,3.8874,"0",2,1,0,2,1,0,0,0,0,0,0,1,0,2
"14",1,34,1,8,0,1,1,0.50619833956756,0,0,0.88,0.2,5,1,3.073758,0,0,0,0,1,0,1994,1995,30040,40,8.47,"2",2,1,1,4,0,1,0,0,1,0,0,1,1,4
"15",0,38,0,2,0,0,0,0.182857142857143,0,0,0.81,0.8,7,1,3.073758,0,0,0,0,1,0,1994,2005,30108,108,1.023,"0",2,0,0,3,0,1,0,0,1,0,0,1,1,3
"16",1,31,0,6,0,0,0,0.0469973890339427,0,0,0.12,0,1,1,5.400013,0,0,0,1,0,0,2000,2007,30116,116,4.551,"1",2,1,0,1,1,0,1,1,0,0,0,1,0,1
"19",1,39,0,7,0,0,0,0.0459770114942527,0,0,0.6,0,3,1,6.46884,0,0,0,0,0,0,2005,2008,30123,123,6.4609,"3",2,1,1,3,1,0,0,0,0,0,0,1,0,3
"20",1,32,1,2,0,1,0,0.180327868852458,0,0,0.36,0,3,1,5.789396,0,0,0,0,1,0,2002,2015,30151,151,4.7126,"2",2,1,1,2,1,1,0,0,1,0,0,1,1,2
"23",1,36,1,6,0,0,5,0.196581196581196,0,0,1.44,0,3,1,11.802817,0,0,0,1,0,0,2010,2017,30164,164,5.8058,"1",2,1,1,3,1,0,1,1,0,0,0,1,0,3
"24",1,40,1,3,1,0,0,0.211453744493392,0,0,0.24,0,1,1,5.400013,0,0,0,0,1,0,2000,2019,30173,173,4.9085,"0",2,1,0,1,1,1,0,0,1,0,0,1,0,1
"25",1,24,1,6,0,1,2,0.211072664359861,0,0,0.24,0,1,1,3.397049,0,0,0,1,0,0,1995,1995,40042,42,1.12,"0",2,0,0,1,1,0,1,0,0,0,0,1,0,1
"26",1,25,1,6,1,0,0,0.384689852993907,0,0,0.07,0,1,1,3.397049,0,0,0,0,1,0,1995,1996,40045,45,1,"0",2,1,0,1,1,1,0,0,1,0,0,1,0,1
"27",1,27,1,3,0,0,2,0.0899280575539565,0,0,0.12,3,1,1,3.397049,0,0,0,0,1,0,1995,1997,40059,59,3.48,"0",2,1,0,1,1,1,0,0,1,0,0,1,0,1
"28",1,32,0,12,0,0,0,0.252014074095156,0,0,0.18,0,1,1,5.400013,0,0,0,0,1,0,2000,2003,40097,97,38.03,"2",2,1,1,1,1,1,0,0,1,0,0,1,0,1
"29",1,36,0,6,0,0,0,0.119159108861188,0,0,0.36,2,1,1,4.084013,0,0,0,0,0,0,1997,2009,40126,126,13.2265,"2",2,1,1,1,1,0,0,0,0,0,0,1,0,1
"30",1,18,0,9,0,0,0,0.041025641025641,0,0,0.24,0,1,1,5.400013,0,0,0,0,1,0,2000,2013,40143,143,3.5737,"0",2,0,0,1,1,1,0,0,1,0,0,1,0,1
"31",1,23,1,1,0,0,0,0.0447761194029849,0,0,0.24,0,1,1,3.073758,0,0,0,0,1,0,1994,2016,40161,161,6.9363,"2",2,0,1,1,1,1,0,0,1,0,0,1,0,1
"32",1,27,0,6,0,0,3,0.147728818169455,0,0,0.09,5,1,1,5.400013,0,0,0,0,1,0,2000,2001,50087,87,9.2,"3",2,0,1,1,1,1,0,0,1,0,0,1,0,1
"33",1,29,0,6,0,0,2,0.188470066518848,0,0,0.51,1,2,1,4.084013,0,0,1,0,0,1,1997,2001,50088,88,8.7,"2",2,0,1,1,1,0,0,0,0,0,0,1,1,1
"34",1,24,0,5,0,0,2,0.286407766990291,0,0,0.54,0,2,1,3.397049,0,0,0,0,1,0,1995,2003,50099,99,1.24,"0",2,0,0,1,1,1,0,0,1,0,0,1,1,1
"37",1,38,1,17,1,0,0,0.178768993257587,0,0,0.33,0.666666666666667,3,1,6.149998,0,0,0,1,0,0,2003,2009,50126,126,13.2265,"2",2,1,1,3,1,0,1,1,0,0,0,1,0,3
"39",0,32,0,9,0,0,2,0.117857142857143,0,0,0.36,0,2,0,10.076554,1,0,0,0,0,1,2008,2012,50137,137,2.7097,"0",2,1,0,0,0,0,0,0,0,0,1,1,1,0
"41",1,25,0,9,0,0,0,0.0923423423423429,0,0,0.24,0,2,1,8.158986,0,0,0,0,1,0,2007,2014,50147,147,4.8382,"1",2,1,1,2,1,1,0,0,1,0,0,1,0,2
"42",1,24,1,6,0,0,0,0.0736196319018407,0,0,0.36,0,1,1,6.46884,0,0,0,0,0,0,2005,2017,50165,165,3.6169,"0",2,1,0,1,1,0,0,0,0,0,0,1,0,1
"43",1,38,1,3,1,0,1,0.0918032786885243,0,0,0.6,0,1,1,4.084013,0,0,0,1,0,0,1997,1997,60059,59,3.48,"0",2,1,0,1,1,0,1,1,0,0,0,1,0,1
"44",1,39,1,9,1,0,1,0.480608170483488,0,0,0.36,0,1,1,3.073758,0,0,0,0,1,0,1994,1998,60068,68,2.39,"0",2,1,0,1,1,1,0,0,1,0,0,1,0,1
"45",1,24,1,6,0,0,0,0.180257510729614,0,0,0.12,3,1,1,6.149998,0,0,0,1,0,0,2003,2005,60108,108,1.023,"0",2,1,0,1,1,0,1,1,0,0,0,1,0,1
"48",0,36,1,6,0,0,0,0.154150197628457,0,0,0.42,0.285714285714286,7,0,5.400013,1,0,0,0,0,1,2000,2006,60110,110,7.8895,"1",2,0,1,0,0,0,0,0,0,0,1,1,1,0
"53",1,31,0,7,0,0,0,0.171477079796264,0,0,0.6,0,5,1,7.313631,0,0,0,1,0,0,2006,2008,60121,121,9.1917,"1",2,1,1,5,1,0,1,1,0,0,0,1,0,5
"54",1,37,1,12,1,0,0,0.0507246376811595,0,0,0.36,2,1,1,7.313631,0,0,0,0,0,0,2006,2009,60128,128,5.5861,"1",2,1,1,1,1,0,0,0,0,0,0,1,0,1
"55",1,39,0,10,0,0,2,0.149338374291116,0,0,0.12,0,1,1,10.076554,0,0,0,0,1,0,2008,2014,60144,144,3.5545,"1",2,1,1,1,1,1,0,0,1,0,0,1,0,1
"56",1,48,0,5,1,0,1,0.225296442687747,0,0,0.32,0,1,1,10.076554,0,0,0,0,1,0,2008,2019,60171,171,4.4584,"0",2,1,0,1,1,1,0,0,1,0,0,1,0,1
"61",1,30,1,6,0,0,0,0.245901639344263,0,0,1.03,0,6,1,6.254962,0,0,0,0,1,0,2004,2019,60174,174,4.8239,"1",2,0,0,5,1,1,0,0,1,0,0,1,1,5
"62",1,27,0,8,0,0,0,0.086816720257235,0,0,0.18,1,1,1,5.789396,0,0,0,1,0,0,2002,2004,70103,103,5.78,"1",2,1,0,1,1,0,1,1,0,0,0,1,0,1
"63",1,32,0,2,1,0,1,0.128491620111732,0,0,1.32,0,1,0,4.084013,1,0,0,0,0,1,1997,2012,70135,135,2.0779,"0",2,1,0,0,0,0,0,0,0,0,1,1,1,0
"64",1,23,0,6,0,0,3,0.183879093198992,0,0,0.24,0,1,1,6.149998,0,0,0,1,0,0,2003,2012,70138,138,3.7623,"1",2,0,1,1,1,0,1,1,0,0,0,1,0,1
"66",1,26,1,0,0,0,0,0.171355498721227,0,0,0.24,0,2,1,4.914131,0,0,0,0,0,0,1999,2015,70151,151,4.7126,"1",2,1,1,2,1,0,0,0,0,0,0,1,0,2
